Ensembl ID,Gene name,log2 FC,p-value,q-value
ENSG00000105219,CCNP,-0.9486654647820663,3.3668252555037745e-4,0.15995167474384678
ENSG00000143994,ABHD1,-0.8171936170566533,3.398453591421561e-4,0.15995167474384678
ENSG00000159307,SCUBE1,-0.8590525954993113,3.592619640597742e-4,0.15995167474384678
ENSG00000255346,NOX5,-0.7872574198857278,3.608037594784613e-4,0.15995167474384678
ENSG00000244694,PTCHD4,-0.6731316128847781,3.6253259788226994e-4,0.15995167474384678
ENSG00000105711,SCN1B,-0.6481446414262181,3.6934498467782134e-4,0.15995167474384678
ENSG00000123901,GPR83,-0.8905171469331432,3.7115920165382046e-4,0.15995167474384678
ENSG00000267272,LINC01140,-0.7281041329506148,3.763874202833136e-4,0.15995167474384678
ENSG00000281392,LINC00506,-0.7581403915100888,3.915750024774363e-4,0.1635854349332856
ENSG00000260343,LINC01043,-1.6316124943402037,4.037525986683413e-4,0.1645232905672573
ENSG00000186335,SLC36A2,-1.1571355926611882,4.071697794791746e-4,0.1645232905672573
ENSG00000163501,IHH,-0.8543946902391467,4.3053988857300285e-4,0.17116043828302216
ENSG00000275450,PTGER4P2-CDK2AP2P2,-1.1178057301340967,4.438671726571158e-4,0.17204799540546092
ENSG00000113361,CDH6,-0.8093374346473216,4.467328670054162e-4,0.17204799540546092
ENSG00000250329,POGLUT2P1,-0.41456282742928957,4.803319580065594e-4,0.17816367960563162
ENSG00000167985,SDHAF2,0.11222506850156597,4.8607412602979215e-4,0.17816367960563162
ENSG00000250420,AACSP1,-0.5528323676260956,4.8770555350907967e-4,0.17816367960563162
ENSG00000261241,LINC02128,-1.227959160320164,4.943046507958174e-4,0.17816367960563162
ENSG00000265107,GJA5,-1.2610955037071758,4.987874865753628e-4,0.17816367960563162
ENSG00000147570,DNAJC5B,-1.307183838413287,5.059825370169674e-4,0.17816367960563162
ENSG00000267586,LINC00907,-1.0562298746548509,5.406907444300546e-4,0.18560432582651096
ENSG00000182175,RGMA,-0.5291891205890442,5.51199487763775e-4,0.18560432582651096
ENSG00000165617,DACT1,-0.9684640845795797,5.615426052448736e-4,0.18560432582651096
ENSG00000144821,MYH15,-0.6142195435928705,5.631501569895059e-4,0.18560432582651096
ENSG00000171804,WDR87,-1.7315822719994591,5.694054146714196e-4,0.18560432582651096
ENSG00000188585,CLEC20A,-0.9257838566446965,5.728080454325755e-4,0.18560432582651096
ENSG00000170549,IRX1,-0.8351532950114936,5.798252632522454e-4,0.18560432582651096
ENSG00000152463,OLAH,-0.7033489360062567,6.051826504280958e-4,0.18791741162273654
ENSG00000157766,ACAN,-1.0202848658561905,6.187387051150666e-4,0.18791741162273654
ENSG00000141837,CACNA1A,-0.7058653593703438,6.219238027381646e-4,0.18791741162273654
ENSG00000232458,LINC01450,-1.1981273698627852,6.236375694800144e-4,0.18791741162273654
ENSG00000173918,C1QTNF1,-0.7595619433090083,6.251715251973547e-4,0.18791741162273654
ENSG00000143340,FAM163A,-1.1155013609128417,6.382560628142166e-4,0.18953898115957604
ENSG00000273032,DGCR5,-0.6329415675913765,6.690653809391078e-4,0.19632289892127536
ENSG00000236320,SLFN14,-0.9766940992533941,6.912500870926649e-4,0.1972402635295708
ENSG00000169783,LINGO1,-1.1465082876327266,6.958885340036682e-4,0.1972402635295708
ENSG00000231119,NA,-0.36216451173879244,7.000202948063063e-4,0.1972402635295708
ENSG00000275793,RIMBP3,-0.9859163118938443,7.104416707258804e-4,0.1972402635295708
ENSG00000267530,LINC01836,-0.559370181336901,7.122031586389079e-4,0.1972402635295708
ENSG00000184933,OR6A2,-0.7853051635992994,7.26052786424289e-4,0.1977180550343582
ENSG00000213694,S1PR3,-0.5892271358396287,7.299717221732634e-4,0.1977180550343582
ENSG00000226792,C13orf42,-1.2630779031614006,7.449947521865954e-4,0.19959381143364352
ENSG00000183166,CALN1,-1.1970310990873492,7.704758613825189e-4,0.2009872525532726
ENSG00000134207,SYT6,-1.1427682078367205,7.760585331094797e-4,0.2009872525532726
ENSG00000234394,LINC03025,-1.1731932288129165,7.822791451772389e-4,0.2009872525532726
ENSG00000121904,CSMD2,-0.9502464390319325,7.828130576563684e-4,0.2009872525532726
ENSG00000228218,ATF4P3,-0.7884283577233853,8.036319806098343e-4,0.20237271140095803
ENSG00000182366,FAM87A,-0.819433048248577,8.046302222206219e-4,0.20237271140095803
ENSG00000231768,LINC01354,-0.7478729487430796,8.511961038503097e-4,0.21192203603739831
ENSG00000166111,SVOP,-1.1116842750829827,8.743436864111952e-4,0.21500853021583158
ENSG00000239254,NA,-0.6803038143724637,8.858051636265998e-4,0.21500853021583158
ENSG00000170927,PKHD1,-1.334363361766506,9.326494705075022e-4,0.21500853021583158
ENSG00000261520,DLGAP1-AS5,-0.5034519668797186,9.398100256952667e-4,0.21500853021583158
ENSG00000205927,OLIG2,-1.2893222701091647,9.549819876798249e-4,0.21500853021583158
ENSG00000167968,DNASE1L2,-0.5278128013663697,9.716760429532304e-4,0.21500853021583158
ENSG00000125735,TNFSF14,-0.5144083226568426,9.995749828792836e-4,0.21500853021583158
ENSG00000281264,SALRNA3,-0.9951208848606397,0.0010041189639869406,0.21500853021583158
ENSG00000128683,GAD1,-0.5899128864170068,0.0010179721766549782,0.21500853021583158
ENSG00000182759,MAFA,-0.820439245345247,0.0010452685261717655,0.21500853021583158
ENSG00000237166,LINC01792,-0.6126077067059837,0.0010486582725430394,0.21500853021583158
ENSG00000224165,DNAJC27-AS1,-0.62926676848593055,0.0010759582755129821,0.21500853021583158
ENSG00000130720,FIBCD1,-0.9663699884664955,0.0010859697549604336,0.21500853021583158
ENSG00000247131,NA,-0.9561811807185084,0.001086028169983368,0.21500853021583158
